id,roa,stake,luck,blocks,pledge
pool1p82vmqednsalje23mpnz9u3qt9ruj79xu83mr6p8t93fw5fcu3y,2.705,4948825806474,0.97,2,26234252741
pool1whmm0hkxunyhxsr6dfjpx2tpvd05qhev820lx9vcmvqa5wjc6nh,1.569,1531828402312,1.002,0,407038051828
pool1y24nj4qdkg35nvvnfawukauggsxrxuy74876cplmxsee29w5axc,1.359,431849039553,1.009,1,132329941687
pool1we9umarzn0l6jp8mcm98y28lxuuzcurzpjldnjwtgdhgw068mnr,1.67,274227476578,0.919,1,80589409173
pool18qzks8vdf0yu0u5ccf8aaj35q6zfutdcfgrssuvdjmgtyykr922,1.319,173714088797,1.0,0,42678447749
pool1zz7x8ergn02chznayj9fjds2gk5q6prmpdr49faspd65kzqsrjs,2.954,67459010773028,0.989,36,136220969951
pool1777xvdg0vydjp78cdcfrmpuqj28w3nuasf7h9a2f6cd4z990777,2.128,92309583026,0.973,0,78772226309
pool19w5khsnmu27au0kprw0kjm8jr7knneysj7lfkqvnu66hyz0jxsx,3.056,64224357847399,0.985,59,1350466443899
pool14pxhk34wlpu2azrnwy9ah8hrzxgffhqthcxcp620209eupfjfcn,1.862,1579944343334,0.883,2,48527971040
pool1esd3cqme3zzvvdnsx3p6ywudn6p86mqyz7fpvqpegxv2qzmtes0,2.263,550303480782,0.908,0,23022465102
pool1nudasuv0lljpe0tswcverqvlh0v4226vgnpsuxn0e9nkvnvcvne,2.973,61878672875186,0.978,51,173991859171
pool17e4rdh59t4fmn4g3p02xvs853katrjzge830tsmd3sfdc645yvt,0.681,645997288828,0.937,0,20050218757
pool1e3y7u0rtq2zskc7ansvtrd4p3vtv9hglyztzcvsvlk22w9t40v0,0.586,127038056864,0.965,0,50012991039
pool18ljuhhw27t85zddz0pvsmsjsz5k0mlz03pzsxgh8qarcsw5wycc,1.644,803578287179,1.108,0,104738505102
pool16kus5xvdysgmtjp0hhlwt72tsm0yn2zcn0a8wg9emc6c75lxvmc,3.028,62218369021084,0.978,43,10000492972488
pool1u6kpt8hgqcm596kukj97ghefmxn8ks2cgwg8qqe0gtgscnufk5p,3.256,62097557618108,1.005,52,510065238099
pool1s6se64qce5rjjjhh6ufcdnc54p8qg78mlhjm38lymx99sqysvzx,2.92,58898180810258,0.97,38,100011838790
pool195gdnmj6smzuakm4etxsxw3fgh8asqc4awtcskpyfnkpcvh2v8t,2.819,57741104740852,0.983,43,560340629563
pool10n23qyec2zcetv0e3x7fdjydscsrlet5sph2hgtfc7x5ze56jqn,1.588,315341502094,1.16,0,40854438915
pool1ksfzungz56vxa9sy6hr54v5hf6qx8rmcu6734gqm3qlxucveed6,1.409,394775258278,0.909,0,62383989051
pool14qpadfdjzw6jkwxy67uhey6tjpyppsmwgz5awfsxwrtpsecslpc,2.477,162240221620,0.884,1,86665398466
pool108zdflss3ayqlm5c7vr6mtqj2uwl99vk28ur8dv4zswdzt6yauc,3.262,57107066542366,0.982,35,1305128400773
pool1gslrt6mmljsqkzft6nd0q7w7g2fyhxpxx6sj4ff68x22kwx6unm,0.977,560136008079,1.139,0,39076388469
pool1qqqqpanw9zc0rzh0yp247nzf2s35uvnsm7aaesfl2nnejaev0uc,3.106,58483748008255,0.998,50,250000200000
pool1dgmuwu0txducah4pes4e2avlcv98wedml33kdz7ujtrrxk8xv9y,0.191,413216439671,0.931,0,251249985560
pool1dswpls43u0s6cpt0dh2d6npm0rnxh5qcjm9xax9y6fp3uq880xm,1.37,298629082178,1.118,0,170833204776
pool1jpz5m45ff4r6tnq7n5tw63fkhpmw3cyv8sn569w24x8lj3kl68c,2.787,3818523088969,0.992,4,532969276927
